NO,KODE,MATA KULIAH,SKS,KETERANGAN
1.,TKM211201,Matematika 2 / Mathematics 2,3,
2.,TKM211202,Fisika 2 / Physics 2,3,
3.,TKM211203,Statika Struktur / Statics of Structure,3,
4.,TKM211204,"Material Teknik 2 /
Engineering Materials 2",2,
5.,TKM211205,Termodinamika1 /Thermodynamics 1,3,
6.,TKM211206,"Logika Pemrograman / Basic
Programming",2,
7.,TKM211207,"Konsep Rekayasa dan Komunikasi
Desain/ Design Principles and
Communication",2,
8.,UNU211201,"Konsep Keteknikan untuk Peradaban /
Engineering Principles for Civilization",2,
9.,TKM211208,"Praktikum Ilmu Dasar /
Basic science Labworks",1,FMIPA
"Jumlah = 9 mata kuliah, dengan 21 SKS",,,,
