NO,KODE,MATA KULIAH,SKS,KETERANGAN
1.,TKI213401,"Akuntansi Manajemen /
Management Accounting",2,
2.,TKI213402,"Manajemen Industri /
Industrial Management",2,
3.,TKI213501,"Keselamatan, Kesehatan Kerja &
Lingkungan /Occupational Health Sefety
and Environment",2,
4.,TKI213608,Rekayasa Kualitas / Quality Engineering,3,
5.,TKI213907,Praktikum Simulasi / Simulation Lab Work,1,"Lab.Simulasi dan
Komputasi"
6.,TKI213611,Simulasi Sistem / System Simulation,3,
7.,TKI213610,Sistem Produksi / Production System,3,
8.,TKI213906,"Prak. Sistem Produksi dan Rantai Pasok /
Production System and Supply Chain
Engineering Lab Work",1,"Lab. Proses dan
Sistem Produksi"
9.,TKI213609,"Teknik Rantai Pasok / Supply Chain
Engineering",3,
Jumlah = 9 mata kuliah dengan total 20 SKS,,,,
