NO,KODE,MATA KULIAH,SKS,KETERANGAN
1.,TKM213201,Sistem Kendali / Control Systems,2,
2.,TKM213202,Motor Listrik / Electric Motors,2,
3.,TKM213203,"Mesin Konversi Energi/
Energy Conversion Machine",3,
4.,TKM213204,"Pemodelan Sistem dan Komputasi /
System Modelling and Computation",3,"Simulasi dan
Komputasi"
5.,TKM213205,"Praktikum CAD/CAM /
CAD/CAM Labworks",1,CNC
6.,TKM213206,"Praktikum Motor Listrik dan Sistem
Kendali / Electric Motors and Control
Systems Labworks",1,"Teknologi
Manufaktur
dan Dinamika"
7.,TKM213107,"Praktikum Termofluida 2 /
Thermofluid 2 Labworks",1,Konversi Energi
8.,TKM213109,Proyek Desain 1/Design Project 1,2,"Semua
laboratorium"
9.,UNU 222013,Bahasa Indonesia,2,
10.,UNU 222011,Pancasila,2,
11.,UNU 222012,Kewarganegaraan/ Citizenship,2,
12.,UNU 2220XX,Pendidikan Agama / Religion,2,
"Jumlah = 12 mata kuliah, dengan 23 SKS",,,,
